# Triad (MNQ Strong Book (3 legs)) - best return-on-drawdown window 01 Feb 2026 to 01 Sep 2026 - closed trades at Multiplier 3 - hypothetical backtested results, commissions and slippage modeled
exit_day,entry_px,exit_px,net_pnl_usd,side,signal,qty,return_pct
07 Jun 26,29249.25,29244.0,54.0,S,Fvg short lim,6.0,0.0154
07 Jun 26,29467.5,29428.5,459.0,S,Fvg short lim,6.0,0.1298
07 Jun 26,29467.5,29462.25,54.0,S,Fvg short lim,6.0,0.0153
07 Jun 26,29467.5,29428.5,459.0,S,Fvg short lim,6.0,0.1298
07 Jun 26,29467.5,29462.25,54.0,S,Fvg short lim,6.0,0.0153
07 Jun 26,29467.75,29428.75,459.0,S,Fvg short lim,6.0,0.1298
07 Jun 26,29467.75,29462.5,54.0,S,Fvg short lim,6.0,0.0153
08 Jun 26,29435.0,29424.75,114.0,S,Fvg short lim,6.0,0.0323
08 Jun 26,29435.0,29397.0,447.0,S,Fvg short lim,6.0,0.1266
08 Jun 26,29829.25,29985.0,-1878.0,S,MWF short lim,6.0,-0.5247
08 Jun 26,29816.0,29985.0,-1018.5,S,MWF confirm add,3.0,-0.5693
08 Jun 26,29950.25,29967.25,195.0,L,Fvg long lim,6.0,0.0543
08 Jun 26,29950.25,29895.25,-669.0,L,Fvg long lim,6.0,-0.1861
08 Jun 26,29759.25,29726.75,381.0,S,Fvg short lim,6.0,0.1067
08 Jun 26,29759.25,29636.75,1461.0,S,Fvg short lim,6.0,0.4091
09 Jun 26,29965.0,29983.75,216.0,L,Fvg long lim,6.0,0.0601
09 Jun 26,29965.0,29970.25,54.0,L,Fvg long lim,6.0,0.015
09 Jun 26,29965.0,29983.75,216.0,L,Fvg long lim,6.0,0.0601
09 Jun 26,29965.0,29970.25,54.0,L,Fvg long lim,6.0,0.015
09 Jun 26,30085.5,29980.5,625.5,S,TT short lim,3.0,0.3465
09 Jun 26,29410.0,29376.5,393.0,S,Fvg short lim,6.0,0.1114
09 Jun 26,29410.0,29283.0,1515.0,S,Fvg short lim,6.0,0.4293
09 Jun 26,29410.0,29404.75,54.0,S,Fvg short lim,6.0,0.0153
09 Jun 26,29410.0,29404.75,54.0,S,Fvg short lim,6.0,0.0153
09 Jun 26,29358.0,29320.75,438.0,S,Fvg short lim,6.0,0.1243
09 Jun 26,29358.0,29352.75,54.0,S,Fvg short lim,6.0,0.0153
10 Jun 26,29222.0,29211.0,123.0,S,Fvg short lim,6.0,0.0351
10 Jun 26,29222.0,29180.75,486.0,S,Fvg short lim,6.0,0.1386
10 Jun 26,29222.0,29211.0,123.0,S,Fvg short lim,6.0,0.0351
10 Jun 26,29222.0,29180.75,486.0,S,Fvg short lim,6.0,0.1386
10 Jun 26,29124.5,29137.25,-162.0,S,Fvg short lim,6.0,-0.0464
10 Jun 26,29124.5,29137.25,-162.0,S,Fvg short lim,6.0,-0.0464
10 Jun 26,29396.25,29018.0,4530.0,S,MWF short lim,6.0,1.2842
10 Jun 26,29141.75,29136.5,54.0,S,Fvg short lim,6.0,0.0154
10 Jun 26,29141.75,29136.5,54.0,S,Fvg short lim,6.0,0.0154
10 Jun 26,28895.0,28861.5,393.0,S,Fvg short lim,6.0,0.1133
10 Jun 26,28895.0,28889.75,54.0,S,Fvg short lim,6.0,0.0156
11 Jun 26,28997.25,29020.25,267.0,L,Fvg long lim,6.0,0.0767
11 Jun 26,28997.25,29084.0,1032.0,L,Fvg long lim,6.0,0.2966
11 Jun 26,29265.0,29160.0,625.5,S,TT short lim,3.0,0.3562
11 Jun 26,29260.25,29160.0,597.0,S,TT confirm add,3.0,0.3401
11 Jun 26,29314.0,29160.0,919.5,S,TT short split,3.0,0.5228
11 Jun 26,29174.5,29178.5,39.0,L,Fvg long lim,6.0,0.0111
11 Jun 26,29174.5,29178.5,39.0,L,Fvg long lim,6.0,0.0111
12 Jun 26,29733.25,29696.75,-447.0,L,Fvg long lim,6.0,-0.1253
12 Jun 26,29733.25,29696.75,-447.0,L,Fvg long lim,6.0,-0.1253
12 Jun 26,29890.25,29904.75,165.0,L,Fvg long lim,6.0,0.046
12 Jun 26,29890.25,29944.5,642.0,L,Fvg long lim,6.0,0.179
12 Jun 26,29890.25,29904.75,165.0,L,Fvg long lim,6.0,0.046
12 Jun 26,29890.25,29843.5,-570.0,L,Fvg long lim,6.0,-0.1589
12 Jun 26,29719.25,29943.75,2685.0,L,MWF long lim,6.0,0.7529
12 Jun 26,29712.0,29943.75,1386.0,L,MWF confirm add,3.0,0.7775
15 Jun 26,30592.25,30602.5,114.0,L,Fvg long lim,6.0,0.0311
15 Jun 26,30592.25,30559.5,-402.0,L,Fvg long lim,6.0,-0.1095
15 Jun 26,30577.0,30594.0,195.0,L,Fvg long lim,6.0,0.0531
15 Jun 26,30577.0,30582.25,54.0,L,Fvg long lim,6.0,0.0147
15 Jun 26,30577.0,30594.0,195.0,L,Fvg long lim,6.0,0.0531
15 Jun 26,30577.0,30641.0,759.0,L,Fvg long lim,6.0,0.2069
15 Jun 26,30632.25,30839.0,-2490.0,S,MWF short lim,6.0,-0.6774
16 Jun 26,30806.75,30820.0,150.0,L,Fvg long lim,6.0,0.0406
16 Jun 26,30806.75,30812.0,54.0,L,Fvg long lim,6.0,0.0146
16 Jun 26,30775.25,30880.25,625.5,L,TT long lim,3.0,0.3387
